Des-I,Emp-I,Des-O,Emp-O,DIA,MES,AÑO,DIANOM,TIPOVUELO,day_period,is_high_season,delay_status
KMIA,AAL,KMIA,AAL,1,1,2017,Domingo,I,evening,True,False
KMIA,AAL,KMIA,AAL,2,1,2017,Lunes,I,evening,True,False
KMIA,AAL,KMIA,AAL,3,1,2017,Martes,I,evening,True,False
KMIA,AAL,KMIA,AAL,4,1,2017,Miercoles,I,evening,True,False
KMIA,AAL,KMIA,AAL,5,1,2017,Jueves,I,evening,True,False
KMIA,AAL,KMIA,AAL,7,1,2017,Sabado,I,evening,True,True
KMIA,AAL,KMIA,AAL,7,1,2017,Sabado,I,evening,True,False
KMIA,AAL,KMIA,AAL,8,1,2017,Domingo,I,evening,True,False
KMIA,AAL,KMIA,AAL,10,1,2017,Martes,I,evening,True,True
KMIA,AAL,KMIA,AAL,12,1,2017,Jueves,I,evening,True,True
KMIA,AAL,KMIA,AAL,14,1,2017,Sabado,I,evening,True,False
KMIA,AAL,KMIA,AAL,16,1,2017,Lunes,I,evening,True,False
KMIA,AAL,KMIA,AAL,18,1,2017,Miercoles,I,evening,True,False
KMIA,AAL,KMIA,AAL,21,1,2017,Sabado,I,evening,True,False
KMIA,AAL,KMIA,AAL,23,1,2017,Lunes,I,evening,True,False
KMIA,AAL,KMIA,AAL,25,1,2017,Miercoles,I,evening,True,False
KMIA,AAL,KMIA,AAL,28,1,2017,Sabado,I,evening,True,False
KMIA,AAL,KMIA,AAL,30,1,2017,Lunes,I,evening,True,False
KMIA,AAL,KMIA,AAL,1,1,2017,Domingo,I,evening,True,False
KMIA,AAL,KMIA,AAL,2,1,2017,Lunes,I,evening,True,False
KMIA,AAL,KMIA,AAL,3,1,2017,Martes,I,evening,True,False
KMIA,AAL,KMIA,AAL,4,1,2017,Miercoles,I,evening,True,False
KMIA,AAL,KMIA,AAL,5,1,2017,Jueves,I,evening,True,False
KMIA,AAL,KMIA,AAL,6,1,2017,Viernes,I,evening,True,True
KMIA,AAL,KMIA,AAL,7,1,2017,Sabado,I,evening,True,False
KMIA,AAL,KMIA,AAL,8,1,2017,Domingo,I,evening,True,False
KMIA,AAL,KMIA,AAL,9,1,2017,Lunes,I,evening,True,True
KMIA,AAL,KMIA,AAL,10,1,2017,Martes,I,evening,True,False
KMIA,AAL,KMIA,AAL,11,1,2017,Miercoles,I,evening,True,False
KMIA,AAL,KMIA,AAL,12,1,2017,Jueves,I,evening,True,False
KMIA,AAL,KMIA,AAL,13,1,2017,Viernes,I,evening,True,False
KMIA,AAL,KMIA,AAL,14,1,2017,Sabado,I,evening,True,False
KMIA,AAL,KMIA,AAL,15,1,2017,Domingo,I,evening,True,False
KMIA,AAL,KMIA,AAL,16,1,2017,Lunes,I,evening,True,False
KMIA,AAL,KMIA,AAL,17,1,2017,Martes,I,evening,True,False
KMIA,AAL,KMIA,AAL,18,1,2017,Miercoles,I,evening,True,False
KMIA,AAL,KMIA,AAL,19,1,2017,Jueves,I,evening,True,False
KMIA,AAL,KMIA,AAL,21,1,2017,Sabado,I,evening,True,False
KMIA,AAL,KMIA,AAL,22,1,2017,Domingo,I,evening,True,False
KMIA,AAL,KMIA,AAL,23,1,2017,Lunes,I,evening,True,False
KMIA,AAL,KMIA,AAL,24,1,2017,Martes,I,evening,True,False
KMIA,AAL,KMIA,AAL,25,1,2017,Miercoles,I,evening,True,False
KMIA,AAL,KMIA,AAL,26,1,2017,Jueves,I,evening,True,False
KMIA,AAL,KMIA,AAL,27,1,2017,Viernes,I,evening,True,False
KMIA,AAL,KMIA,AAL,28,1,2017,Sabado,I,evening,True,False
KMIA,AAL,KMIA,AAL,29,1,2017,Domingo,I,evening,True,False
KMIA,AAL,KMIA,AAL,30,1,2017,Lunes,I,evening,True,False
KMIA,AAL,KMIA,AAL,31,1,2017,Martes,I,evening,True,False
KDFW,AAL,KDFW,AAL,1,1,2017,Domingo,I,evening,True,False
KDFW,AAL,KDFW,AAL,2,1,2017,Lunes,I,evening,True,False
KDFW,AAL,KDFW,AAL,3,1,2017,Martes,I,evening,True,False
KDFW,AAL,KDFW,AAL,4,1,2017,Miercoles,I,evening,True,True
KDFW,AAL,KDFW,AAL,5,1,2017,Jueves,I,evening,True,False
KDFW,AAL,KDFW,AAL,6,1,2017,Viernes,I,evening,True,True
KDFW,AAL,KDFW,AAL,7,1,2017,Sabado,I,evening,True,False
KDFW,AAL,KDFW,AAL,8,1,2017,Domingo,I,evening,True,False
KDFW,AAL,KDFW,AAL,9,1,2017,Lunes,I,evening,True,False
KDFW,AAL,KDFW,AAL,10,1,2017,Martes,I,evening,True,False
KDFW,AAL,KDFW,AAL,11,1,2017,Miercoles,I,evening,True,False
KDFW,AAL,KDFW,AAL,12,1,2017,Jueves,I,evening,True,True
KDFW,AAL,KDFW,AAL,13,1,2017,Viernes,I,evening,True,False
KDFW,AAL,KDFW,AAL,14,1,2017,Sabado,I,evening,True,False
KDFW,AAL,KDFW,AAL,15,1,2017,Domingo,I,evening,True,False
KDFW,AAL,KDFW,AAL,16,1,2017,Lunes,I,evening,True,False
KDFW,AAL,KDFW,AAL,17,1,2017,Martes,I,evening,True,False
KDFW,AAL,KDFW,AAL,18,1,2017,Miercoles,I,evening,True,False
KDFW,AAL,KDFW,AAL,19,1,2017,Jueves,I,evening,True,False
KDFW,AAL,KDFW,AAL,20,1,2017,Viernes,I,evening,True,False
KDFW,AAL,KDFW,AAL,21,1,2017,Sabado,I,evening,True,False
KDFW,AAL,KDFW,AAL,22,1,2017,Domingo,I,evening,True,False
KDFW,AAL,KDFW,AAL,23,1,2017,Lunes,I,evening,True,False
KDFW,AAL,KDFW,AAL,24,1,2017,Martes,I,evening,True,False
KDFW,AAL,KDFW,AAL,25,1,2017,Miercoles,I,evening,True,False
KDFW,AAL,KDFW,AAL,26,1,2017,Jueves,I,evening,True,False
KDFW,AAL,KDFW,AAL,27,1,2017,Viernes,I,evening,True,False
KDFW,AAL,KDFW,AAL,28,1,2017,Sabado,I,evening,True,False
KDFW,AAL,KDFW,AAL,29,1,2017,Domingo,I,evening,True,True
KDFW,AAL,KDFW,AAL,30,1,2017,Lunes,I,evening,True,False
KDFW,AAL,KDFW,AAL,31,1,2017,Martes,I,evening,True,False
SAEZ,ACA,SAEZ,ACA,1,1,2017,Domingo,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,2,1,2017,Lunes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,3,1,2017,Martes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,4,1,2017,Miercoles,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,5,1,2017,Jueves,I,afternoon,True,False
SAEZ,ACA,SAEZ,ACA,6,1,2017,Viernes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,7,1,2017,Sabado,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,8,1,2017,Domingo,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,9,1,2017,Lunes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,10,1,2017,Martes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,11,1,2017,Miercoles,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,12,1,2017,Jueves,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,13,1,2017,Viernes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,14,1,2017,Sabado,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,15,1,2017,Domingo,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,16,1,2017,Lunes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,17,1,2017,Martes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,18,1,2017,Miercoles,I,afternoon,True,False
SAEZ,ACA,SAEZ,ACA,19,1,2017,Jueves,I,afternoon,True,False
SAEZ,ACA,SAEZ,ACA,20,1,2017,Viernes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,21,1,2017,Sabado,I,afternoon,True,False
SAEZ,ACA,SAEZ,ACA,22,1,2017,Domingo,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,23,1,2017,Lunes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,24,1,2017,Martes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,25,1,2017,Miercoles,I,afternoon,True,False
SAEZ,ACA,SAEZ,ACA,26,1,2017,Jueves,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,27,1,2017,Viernes,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,28,1,2017,Sabado,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,29,1,2017,Domingo,I,afternoon,True,True
SAEZ,ACA,SAEZ,ACA,30,1,2017,Lunes,I,afternoon,True,False
CYYZ,ACA,CYYZ,ACA,1,1,2017,Domingo,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,2,1,2017,Lunes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,3,1,2017,Martes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,4,1,2017,Miercoles,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,5,1,2017,Jueves,I,evening,True,False
CYYZ,ACA,CYYZ,ACA,6,1,2017,Viernes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,7,1,2017,Sabado,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,8,1,2017,Domingo,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,9,1,2017,Lunes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,10,1,2017,Martes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,11,1,2017,Miercoles,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,13,1,2017,Viernes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,14,1,2017,Sabado,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,15,1,2017,Domingo,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,16,1,2017,Lunes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,17,1,2017,Martes,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,18,1,2017,Miercoles,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,19,1,2017,Jueves,I,evening,True,True
CYYZ,ACA,CYYZ,ACA,20,1,2017,Viernes,I,evening,True,False
